id,text,unit,updated,firstPeriod,latestPeriod,active,variables
NRBB10,Beskæftigelse og timer (10a3-gruppering),-,2021-10-28T08:00:00,1993,2020,True,"['område', 'socioøkonomisk status', 'branche', 'tid']"
NRBP10,"1-2.1.1 Produktion, BVT og indkomstdannelse (10a3-gruppering)",-,2021-10-28T08:00:00,1993,2020,True,"['område', 'transaktion', 'branche', 'prisenhed', 'tid']"
NRBI10,Investeringer (10a3-gruppering),-,2021-10-28T08:00:00,2000,2019,True,"['område', 'branche', 'prisenhed', 'tid']"
NRS,Husholdningernes indkomst,-,2021-10-28T08:00:00,2000,2020,True,"['område', 'transaktion', 'prisenhed', 'tid']"
NP23,Arbejdsproduktivitet,-,2021-06-30T08:00:00,1966,2020,True,"['branche', 'prisenhed', 'tid']"
NP25,Produktivitetsudviklingen,Pct.,2022-02-18T08:00:00,1967,2020,True,"['branche', 'type', 'prisenhed', 'tid']"
NP25V,Vækstregnskab,Pct.,2022-02-18T08:00:00,1967,2020,True,"['branche', 'type', 'prisenhed', 'tid']"
NP28,"Produktivitetsudviklingen, KLEMS",Pct.,2019-06-26T08:00:00,1967,2017,True,"['branche', 'type', 'prisenhed', 'tid']"
IOVB,Importkorrigerede vækstbidrag,Procent point,2021-06-30T08:00:00,2006,2020,True,"['anvendelse', 'tid']"
NIO1,Input-output tabel. Tilgang fra brancher fordelt på anvendelse og prisenhed.,Mio. kr.,2021-06-30T08:00:00,1966,2018,True,"['tilgangstype', 'tilgang fra branche', 'anvendelse', 'prisenhed', 'tid']"
NIO1F,Input-output tabel. Tilgang fra brancher fordelt på anvendelse og prisenhed. (69-gruppering),Mio. kr.,2021-07-07T08:00:00,1966,2020,True,"['tilgangstype', 'tilgang fra branche', 'anvendelse', 'prisenhed', 'tid']"
NIO2,Input-output tabel. Ikke branchefordelt import efter anvendelse og prisenhed.,Mio. kr.,2021-06-30T08:00:00,1966,2018,True,"['tilgangstype', 'anvendelse', 'prisenhed', 'tid']"
